date,y,Dp,eq,ep,r,ys,Dps,eqs,rs,lrs,poil,pmat,pmetal
1979Q2,3.260733287,0.013796061,0.782322204,-3.063785845,0.007574099,3.501881121,0.024493208,0.487410486,0.021491595,0.025268325,3.433544001,4.148960075,4.200168301
1979Q3,3.280948502,0.014285894,0.888664737,-3.105175802,0.007687266,3.514369337,0.031045243,0.472345985,0.022771128,0.025844361,3.57632221,4.272870762,4.198062627
1979Q4,3.301163717,0.018401604,0.887492804,-3.112308914,0.008421549,3.535380126,0.025806913,0.437822451,0.02445176,0.027899708,3.696729,4.220098227,4.305732623
1980Q1,3.321378931,0.015110405,0.93108057,-3.121077755,0.008793519,3.54379982,0.031973939,0.44758487,0.027081663,0.030457818,3.661657891,4.311325946,4.431295052
1980Q2,3.335623373,0.011054037,1.171903914,-3.126963094,0.009827605,3.548716675,0.029170492,0.451599381,0.026707736,0.029993229,3.643353188,4.207531001,4.284340945
1980Q3,3.349867815,0.022131202,1.231853341,-3.179261816,0.010239896,3.558915593,0.021942723,0.504382637,0.025404105,0.029489797,3.550054573,4.289883868,4.277810888
1980Q4,3.364112257,0.022752685,1.368679565,-3.188968699,0.010808762,3.571089575,0.023305597,0.526108578,0.028010048,0.03048417,3.679336785,4.284165084,4.195715598
1981Q1,3.378356698,0.029278209,1.520751309,-3.178060346,0.011006614,3.585076611,0.024970719,0.566210706,0.028521977,0.030635033,3.666903634,4.204844138,4.135575495
1981Q2,3.399249564,0.025813896,1.657939678,-3.171440805,0.010974722,3.596380055,0.026778978,0.605422168,0.028924724,0.031100169,3.561323891,4.181515062,4.082994087
1981Q3,3.42014243,0.020317252,1.116268059,-3.179463327,0.010914899,3.610758612,0.025727326,0.512869505,0.031219176,0.032588928,3.571966963,4.122314938,4.049078771
1981Q4,3.441035296,0.011332041,1.309833764,-3.230599769,0.011012188,3.61904985,0.018882937,0.463931494,0.027697493,0.032526424,3.605036964,4.108267154,4.004547172
1982Q1,3.461928162,0.012759111,1.036657344,-3.230000939,0.01124891,3.62748109,0.015978321,0.448459644,0.027085469,0.030912887,3.474382441,4.130567481,3.987906752
1982Q2,3.465997564,0.013794349,0.953776712,-3.232994898,0.012166587,3.637906736,0.011102037,0.424040547,0.028324051,0.030076711,3.535427248,4.123548317,3.893332291
1982Q3,3.470066967,0.010408032,0.855808529,-3.229071188,0.012475957,3.6435387,0.017050859,0.384631065,0.026283119,0.02917814,3.514315771,4.107813419,3.871532351
1982Q4,3.474136369,0.013017625,0.957112127,-3.239830084,0.01249182,3.653163826,0.015045432,0.446535877,0.025450686,0.027221297,3.511950937,4.057183461,3.86444494
1983Q1,3.478205772,0.005239804,1.159146484,-3.279038586,0.012405383,3.664953286,0.014281532,0.499705239,0.025057465,0.025615003,3.38074899,4.055755623,3.979403704
1983Q2,3.511206802,0.008212803,1.287965794,-3.275310702,0.012404598,3.686440102,0.015122757,0.591752326,0.025025665,0.025486625,3.395761388,4.139159859,4.085737897
1983Q3,3.544207833,0.0064364,1.235630039,-3.266442455,0.012513223,3.700852315,0.01558054,0.60418205,0.025154595,0.026205003,3.426575514,4.220844219,4.127331235
1983Q4,3.577208863,0.013309881,1.239167993,-3.280848152,0.012643167,3.720539868,0.01650028,0.594905146,0.025586201,0.025716892,3.372182671,4.261961984,4.087198612
1984Q1,3.610209894,0.021871469,1.211677464,-3.311159575,0.012570287,3.744405244,0.01860495,0.61572275,0.026350557,0.025820661,3.393072892,4.282071697,4.063485198
